2483.82000,2636.01700
2483.53000,2636.34100
2483.27300,2637.33400
2483.27300,2695.08300
2488.87300,2695.08300
2488.87300,2697.17800
2488.87000,2697.28000
2488.86300,2697.38300
2488.85100,2697.48100
2488.84800,2698.14900
2488.89400,2698.04800
2488.93600,2697.94400
2488.97200,2697.83800
2489.00300,2697.73100
2489.02800,2697.62200
2489.04800,2697.51200
2489.06200,2697.40100
2489.07000,2697.29000
2489.07300,2697.17800
2489.07300,2648.35700
2489.07300,2648.28200
2489.07100,2648.13200
2489.07000,2648.05700
2489.06900,2647.98200
2489.06800,2647.90700
2489.06600,2647.83200
2489.06400,2647.75700
2489.06200,2647.68200
2489.05900,2647.60700
2489.05500,2647.53200
2489.05000,2647.45700
2489.04500,2647.38300
2489.03800,2647.30800
2489.03000,2647.23400
2489.01900,2647.16000
2489.00600,2647.08700
2488.98900,2647.01700
2488.96600,2646.95400
2488.92900,2646.90500
2488.87300,2646.88300
2488.81800,2646.90500
2488.78100,2646.95400
2488.75700,2647.01700
2488.74000,2647.08700
2488.72700,2647.16000
2488.71700,2647.23400
2488.70900,2647.30800
2488.70200,2647.38300
2488.69600,2647.45700
2488.69200,2647.53200
2488.68800,2647.60700
2488.68500,2647.68200
2488.68200,2647.75700
2488.68000,2647.83200
2488.67900,2647.90700
2488.67700,2647.98200
2488.67600,2648.05700
2488.67500,2648.13200
2488.67400,2648.28200
2488.67300,2648.35700
2488.67300,2694.88300
2486.27300,2694.88300
2486.27300,2648.35700
2486.27300,2648.28200
2486.27100,2648.13200
2486.27000,2648.05700
2486.26900,2647.98200
2486.26800,2647.90700
2486.26600,2647.83200
2486.26400,2647.75700
2486.26200,2647.68200
2486.25900,2647.60700
2486.25500,2647.53200
2486.25000,2647.45700
2486.24500,2647.38300
2486.23800,2647.30800
2486.23000,2647.23400
2486.21900,2647.16000
2486.20600,2647.08700
2486.18900,2647.01700
2486.16600,2646.95400
2486.12900,2646.90500
2486.07300,2646.88300
2486.01800,2646.90500
2485.98100,2646.95400
2485.95700,2647.01700
2485.94000,2647.08700
2485.92700,2647.16000
2485.91700,2647.23400
2485.90900,2647.30800
2485.90200,2647.38300
2485.89600,2647.45700
2485.89200,2647.53200
2485.88800,2647.60700
2485.88500,2647.68200
2485.88200,2647.75700
2485.88000,2647.83200
2485.87900,2647.90700
2485.87700,2647.98200
2485.87600,2648.05700
2485.87500,2648.13200
2485.87400,2648.28200
2485.87300,2648.35700
2485.87300,2694.88300
2483.47300,2694.88300
2483.47300,2637.36000
